iter	Passed	Remaining
556	5243	4170
557	5252	4160
558	5262	4151
559	5271	4141
560	5280	4132
561	5289	4122
562	5301	4114
563	5325	4116
564	5334	4107
565	5344	4098
566	5353	4088
567	5363	4079
568	5372	4069
569	5382	4060
570	5391	4050
571	5401	4041
572	5410	4032
573	5420	4022
574	5429	4013
575	5438	4003
576	5447	3993
577	5455	3983
578	5464	3973
579	5473	3963
580	5482	3954
581	5491	3944
582	5500	3934
583	5509	3924
584	5518	3914
585	5527	3905
586	5536	3895
587	5545	3885
588	5554	3876
589	5563	3866
590	5572	3856
591	5582	3847
592	5591	3837
593	5600	3827
594	5609	3818
595	5618	3808
596	5627	3799
597	5636	3789
598	5646	3779
599	5655	3770
600	5664	3760
601	5673	3750
602	5682	3741
603	5691	3731
604	5700	3721
605	5709	3712
606	5719	3702
607	5728	3693
608	5737	3683
609	5746	3673
610	5755	3664
611	5764	3654
612	5773	3645
613	5782	3635
614	5791	3625
615	5801	3616
616	5810	3606
617	5819	3597
618	5828	3587
619	5838	3578
620	5848	3569
621	5857	3559
622	5866	3550
623	5876	3540
624	5885	3531
625	5895	3522
626	5904	3512
627	5913	3502
628	5922	3493
629	5931	3483
630	5941	3474
631	5950	3464
632	5959	3454
633	5968	3445
634	5977	3435
635	5986	3426
636	5995	3416
637	6004	3407
638	6013	3397
639	6023	3387
640	6032	3378
641	6041	3368
642	6049	3358
643	6058	3349
644	6067	3339
645	6077	3330
646	6085	3320
647	6095	3310
648	6104	3301
649	6113	3291
650	6122	3282
651	6131	3272
652	6140	3263
653	6149	3253
654	6158	3243
655	6167	3234
656	6176	3224
657	6185	3215
658	6194	3205
659	6203	3195
660	6213	3186
661	6222	3176
662	6230	3167
663	6239	3157
664	6248	3147
665	6257	3138
666	6266	3128
667	6275	3119
668	6284	3109
669	6294	3100
670	6303	3090
671	6312	3080
672	6321	3071
673	6330	3061
674	6339	3052
675	6348	3042
676	6356	3032
677	6366	3023
678	6375	3013
679	6383	3004
680	6393	2994
681	6401	2985
682	6411	2975
683	6420	2966
684	6429	2956
685	6438	2946
686	6447	2937
687	6456	2927
688	6465	2918
689	6474	2908
690	6483	2899
691	6492	2889
692	6501	2880
693	6510	2870
694	6519	2860
695	6528	2851
696	6537	2841
697	6546	2832
698	6555	2822
699	6563	2813
700	6572	2803
701	6582	2794
702	6590	2784
703	6599	2774
704	6608	2765
705	6617	2755
706	6626	2746
707	6634	2736
708	6643	2726
709	6652	2717
710	6661	2707
711	6670	2698
712	6679	2688
713	6688	2679
714	6697	2669
715	6706	2660
716	6715	2650
717	6733	2644
718	6750	2638
719	6761	2629
720	6771	2620
721	6780	2610
722	6789	2601
723	6798	2591
724	6807	2582
725	6816	2572
726	6825	2562
727	6834	2553
728	6843	2543
729	6852	2534
730	6861	2524
731	6870	2515
732	6879	2505
733	6889	2496
734	6898	2487
735	6906	2477
736	6915	2467
737	6924	2458
738	6933	2448
739	6943	2439
740	6952	2430
741	6961	2420
742	6970	2411
743	6979	2401
744	6988	2392
745	6998	2382
746	7007	2373
747	7016	2363
748	7025	2354
749	7035	2345
750	7043	2335
751	7053	2326
752	7062	2316
753	7071	2307
754	7080	2297
755	7089	2288
756	7098	2278
757	7108	2269
758	7117	2259
759	7126	2250
760	7135	2241
761	7145	2231
762	7154	2222
763	7164	2213
764	7173	2203
765	7182	2194
766	7191	2184
767	7200	2175
768	7209	2165
769	7218	2156
770	7227	2146
771	7237	2137
772	7246	2127
773	7255	2118
774	7264	2109
775	7273	2099
776	7282	2090
777	7291	2080
778	7300	2071
779	7309	2061
780	7318	2052
781	7328	2042
782	7337	2033
783	7346	2024
784	7356	2014
785	7370	2006
786	7381	1997
787	7391	1988
788	7400	1979
789	7410	1969
790	7421	1960
791	7431	1951
792	7441	1942
793	7450	1933
794	7459	1923
795	7468	1914
796	7477	1904
797	7486	1895
798	7495	1885
799	7504	1876
800	7513	1866
801	7522	1857
802	7531	1847
803	7540	1838
804	7549	1828
805	7559	1819
806	7567	1809
807	7576	1800
808	7586	1791
809	7595	1781
810	7604	1772
811	7613	1762
812	7623	1753
813	7632	1744
814	7642	1734
815	7651	1725
816	7660	1715
817	7669	1706
818	7678	1696
819	7687	1687
820	7696	1677
821	7705	1668
822	7713	1658
823	7723	1649
824	7732	1640
825	7742	1630
826	7751	1621
827	7760	1612
828	7769	1602
829	7779	1593
830	7787	1583
831	7796	1574
832	7805	1564
833	7815	1555
834	7823	1546
835	7833	1536
836	7842	1527
837	7851	1517
838	7860	1508
839	7868	1498
840	7878	1489
841	7887	1480
842	7897	1470
843	7906	1461
844	7914	1451
845	7923	1442
846	7932	1432
847	7941	1423
848	7950	1414
849	7959	1404
850	7969	1395
851	7977	1385
